,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,5227,2013,2013,100.00,71.60,0.40,0.24,-0.38
1,5227,2014,2014,89.10,39.10,1.28,0.13,0.10
2,5227,2015,2015,44.25,24.70,0.79,0.75,0.37
3,5227,2016,2016,43.20,26.90,0.61,0.26,0.10
4,5227,2017,2017,33.90,18.15,0.87,0.63,0.21
5,5227,2018,2018,29.65,13.20,1.25,0.66,0.48
6,5227,2019,2019,21.90,12.85,0.70,0.53,6.94
7,5227,2020,2020,19.60,6.31,2.11,15.16,15.16
8,5227,2021,2021,102.00,8.85,10.53,10.53,
9,5227,2022,2022,102.00,59.40,0.72,,
