,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,4303,2012,2012,11.70,4.60,1.54,1.05,2.68
1,4303,2013,2013,9.45,7.40,0.28,1.29,1.53
2,4303,2014,2014,16.95,8.55,0.98,1.19,1.30
3,4303,2015,2015,18.70,11.10,0.68,0.77,11.79
4,4303,2016,2016,19.65,12.15,0.62,10.69,18.59
5,4303,2017,2017,142.00,17.70,7.02,12.45,0.45
6,4303,2018,2018,238.00,17.70,12.45,0.45,0.79
7,4303,2019,2019,25.70,19.85,0.29,0.59,0.75
8,4303,2020,2020,31.60,15.70,1.01,1.21,1.01
9,4303,2021,2021,34.70,15.85,1.19,0.99,
10,4303,2022,2022,31.50,20.30,0.55,,
