"109年12月07日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","6.89","108","10.37","1.34","109/3",
"1102","亞泥","6.80","108","10.34","1.04","109/3",
"1103","嘉泥","5.49","108","34.34","0.53","109/3",
"1104","環泥","4.51","108","11.08","0.81","109/3",
"1108","幸福","1.28","108","12.72","1.03","109/3",
"1109","信大","5.19","108","7.94","1.04","109/3",
"1110","東泥","0.57","108","-","1.18","109/3",
"1201","味全","6.32","108","28.07","1.62","109/3",
"1203","味王","2.71","108","18.92","1.74","109/3",
"1210","大成","4.77","108","13.02","1.92","109/3",
"1213","大飲","0.00","108","-","0.82","109/3",
"1215","卜蜂","5.61","108","10.84","2.40","109/3",
"1216","統一","3.81","108","17.92","3.37","109/3",
"1217","愛之味","0.00","108","20.29","0.69","109/3",
"1218","泰山","3.81","108","14.97","1.68","109/3",
"1219","福壽","2.06","108","10.32","1.46","109/3",
"1220","台榮","4.78","108","13.07","0.96","109/3",
"1225","福懋油","4.11","108","21.39","2.20","109/3",
"1227","佳格","4.33","108","15.81","3.31","109/3",
"1229","聯華","7.76","108","19.55","1.81","109/3",
"1231","聯華食","4.71","108","12.55","2.16","109/3",
"1232","大統益","4.03","108","18.05","4.81","109/3",
"1233","天仁","4.48","108","46.97","2.24","109/3",
"1234","黑松","5.16","108","15.05","0.74","109/3",
"1235","興泰","4.28","108","32.95","0.99","109/3",
"1236","宏亞","2.16","108","46.33","0.93","109/3",
"1256","鮮活果汁-KY","2.04","108","14.61","4.25","109/3",
"1301","台塑","4.92","108","45.66","1.95","109/3",
"1303","南亞","3.26","108","30.27","1.69","109/3",
"1304","台聚","2.42","108","15.88","1.14","109/3",
"1305","華夏","4.31","108","15.06","1.48","109/3",
"1307","三芳","3.53","108","42.74","1.15","109/3",
"1308","亞聚","5.71","108","13.46","1.04","109/3",
"1309","台達化","1.83","108","9.29","2.09","109/3",
"1310","台苯","5.62","108","-","1.50","109/3",
"1312","國喬","0.00","108","8.56","0.81","109/3",
"1313","聯成","1.22","108","26.97","0.95","109/3",
"1314","中石化","3.26","108","45.95","0.43","109/3",
"1315","達新","5.06","108","1.81","0.80","109/3",
"1316","上曜","0.00","108","-","1.22","109/3",
"1319","東陽","4.66","108","20.13","1.07","109/3",
"1321","大洋","0.00","108","13.60","1.29","109/3",
"1323","永裕","4.84","108","10.20","1.43","109/3",
"1324","地球","2.96","108","46.14","0.79","109/3",
"1325","恆大","0.31","108","5.68","2.53","109/3",
"1326","台化","4.77","108","37.42","1.55","109/3",
"1337","再生-KY","0.00","108","-","0.34","109/3",
"1338","廣華-KY","6.04","108","20.46","0.81","109/3",
"1339","昭輝","4.80","108","27.43","0.90","109/3",
"1340","勝悅-KY","0.00","108","-","0.36","109/3",
"1341","富林-KY","8.47","108","10.71","2.57","109/3",
